gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
IL7R,0.20696160197257996,0.20664089986936834,0.00032070210321161197,0.0015495729650087523,False,CLEAN
GNAS,0.1438765972852707,0.14365535569313437,0.0002212415921363231,0.0015377177130319346,False,CLEAN
CYCS,0.13907518982887268,0.13886943105990784,0.00020575876896483658,0.0014794786131014151,False,CLEAN
VAPA,0.15762437880039215,0.15739139417510659,0.00023298462528556496,0.001478100196547676,False,CLEAN
NCOR1,0.1393561214208603,0.13915351396703413,0.00020260745382616463,0.0014538826982295463,False,CLEAN
PIK3IP1,0.17076963186264038,0.17052175088338634,0.00024788097925404484,0.0014515518745945968,False,CLEAN
ITM2A,0.18890568614006042,0.18863182468945,0.0002738614506104242,0.0014497258193031575,False,CLEAN
TAF7,0.13516251742839813,0.13496683669372556,0.0001956807346725764,0.0014477440816847583,False,CLEAN
STK4,0.1425067037343979,0.14230137567066584,0.00020532806373205204,0.0014408309107671157,False,CLEAN
RARRES3,0.18310752511024475,0.18284600769088497,0.0002615174193597858,0.0014282177600419878,False,CLEAN
PNISR,0.1545475274324417,0.15432702388025452,0.00022050355218719564,0.0014267685536644102,False,CLEAN
HBA1,0.03621453791856766,0.03616298271305414,5.1555205513517666e-05,0.0014236052280839583,False,CLEAN
TUBA1B,0.13236482441425323,0.132176751635776,0.00018807277847723847,0.0014208667545135695,False,CLEAN
TYROBP,0.5568205714225769,0.556029871772418,0.000790699650158877,0.0014200259306849617,False,CLEAN
GYPC,0.06865797936916351,0.06856073980057602,9.72395685874955e-05,0.0014162894026439829,False,CLEAN
CCL8,0.004537764471024275,0.00453135757173256,6.40689929171448e-06,0.0014119065307654232,False,CLEAN
KLF6,0.15141025185585022,0.15119937851054685,0.00021087334530336954,0.0013927283173937985,False,CLEAN
C15orf48,0.5471654534339905,0.5464051893593382,0.0007602640746522393,0.00138945920266137,False,CLEAN
RNPS1,0.14653271436691284,0.1463298759178432,0.00020283844906965331,0.0013842536797738754,False,CLEAN
PPA1,0.10537104308605194,0.1052259578266458,0.0001450852594061386,0.0013768987679817668,False,CLEAN
MTDH,0.130282461643219,0.13010423423047773,0.00017822741274126086,0.0013680077156458712,False,CLEAN
LBH,0.11040742695331573,0.11025639545444606,0.0001510314988696776,0.001367946912969353,False,CLEAN
DNAJB6,0.20639435946941376,0.20611785433940255,0.00027650513001120647,0.0013396932489920233,False,CLEAN
MAT2B,0.08500098437070847,0.0848873238827433,0.00011366048796516981,0.0013371667258519123,False,CLEAN
SOCS3,0.08261740952730179,0.08250815341406441,0.00010925611323737983,0.0013224345069942553,False,CLEAN
S1PR4,0.14774328470230103,0.14754798109525183,0.00019530360704919647,0.0013219119057947593,False,CLEAN
CTSL,0.1732715517282486,0.17304257040424206,0.00022898132400653304,0.0013215171314772847,False,CLEAN
LGALS3,0.40922224521636963,0.40868558975525143,0.0005366554611181962,0.00131140344248502,False,CLEAN
YPEL5,0.17365244030952454,0.17342499317983695,0.00022744712968758574,0.0013097836649008535,False,CLEAN
CTSB,0.24180366098880768,0.2414882133917529,0.000315447597054791,0.0013045608811910918,False,CLEAN
S100A4,0.4592481553554535,0.45864939048808795,0.0005987648673655421,0.0013037937341350977,False,CLEAN
SLC25A37,0.053371429443359375,0.05330198909219665,6.944035116272784e-05,0.001301077222157253,False,CLEAN
LIMS1,0.19042955338954926,0.1901824594356931,0.0002470939538561645,0.0012975609586748365,False,CLEAN
ATP5G3,0.15802010893821716,0.15781517773158257,0.00020493120663458986,0.0012968678987223964,False,CLEAN
PPP2R5C,0.132051482796669,0.13188080718643388,0.00017067561023512146,0.0012924929476023025,False,CLEAN
SEPT6,0.11262267827987671,0.11247740012080072,0.00014527815907598718,0.0012899547524074938,False,CLEAN
SLFN5,0.07518482953310013,0.07508839099529321,9.643853780691436e-05,0.0012826861270524965,False,CLEAN
CCT4,0.15774543583393097,0.15754468420991966,0.00020075162401131386,0.0012726303170042799,False,CLEAN
CD2,0.24970629811286926,0.24939087444127367,0.0003154236715955938,0.0012631786782286915,False,CLEAN
SNHG8,0.10017716139554977,0.10005138924799473,0.00012577214755504773,0.001255497219155932,False,CLEAN
CCT6A,0.10477037727832794,0.10463906634021064,0.00013131093811730166,0.0012533212299929717,False,CLEAN
HERPUD1,0.23990659415721893,0.2396080202874002,0.00029857386981874123,0.001244542155531897,False,CLEAN
NDUFAB1,0.11922936141490936,0.11908162882351203,0.00014773259139733153,0.0012390621709633504,False,CLEAN
SOCS1,0.11093346774578094,0.1107964189598909,0.0001370487858900482,0.0012354142413010477,False,CLEAN
ZFP36L1,0.16782993078231812,0.16762262775345957,0.00020730302885854646,0.001235197010999346,False,CLEAN
ZC3H15,0.09872779250144958,0.09860624764799071,0.00012154485345887422,0.0012311108187402207,False,CLEAN
HSPA5,0.23236936330795288,0.23208339543214745,0.00028596787580542626,0.0012306608398562453,False,CLEAN
MED10,0.1313380002975464,0.1311764509282453,0.00016154936930110053,0.0012300276305038165,False,CLEAN
ARID4B,0.10288549214601517,0.10275936714318465,0.0001261250028305183,0.0012258774313051019,False,CLEAN
PDCD4,0.13816434144973755,0.1379959701697278,0.0001683712800097381,0.0012186304964294239,False,CLEAN
PPP1R2,0.1512662172317505,0.15108199284579996,0.00018422438595053214,0.001217881886133818,False,CLEAN
PRDX6,0.12947405874729156,0.12931654725953917,0.0001575114877523931,0.001216548621989407,False,CLEAN
DDX24,0.13462446630001068,0.1344611127690794,0.00016335353093127614,0.001213401511781987,False,CLEAN
CUTA,0.1546604037284851,0.1544731911028428,0.0001872126256423079,0.0012104754748408003,False,CLEAN
CDC42SE2,0.10981525480747223,0.109683786589263,0.00013146821820922416,0.0011971762797410418,False,CLEAN
IMP3,0.11541251093149185,0.11527566647850492,0.0001368444529869367,0.001185698603058439,False,CLEAN
STRAP,0.09689848870038986,0.09678427598257808,0.00011421271781178466,0.001178684201824142,False,CLEAN
AES,0.11948158591985703,0.1193413128341911,0.000140273085665929,0.0011740142599046014,False,CLEAN
PPM1K,0.04350787028670311,0.043457106086802075,5.076419990103498e-05,0.0011667819998201464,False,CLEAN
HNRNPDL,0.17297708988189697,0.1727763854067941,0.0002007044751028697,0.001160295130643625,False,CLEAN
IRF1,0.12578007578849792,0.12563438081965062,0.0001456949688473097,0.0011583310626422194,True,CLEAN
MAGED2,0.1406046450138092,0.14044206951819194,0.00016257549561726758,0.0011562597779134576,False,CLEAN
NCOA4,0.06709905713796616,0.06702164334273365,7.741379523250325e-05,0.0011537240392711983,False,CLEAN
CMPK1,0.13057714700698853,0.13042656099232516,0.00015058601466336197,0.001153234069781771,False,CLEAN
RWDD1,0.12841174006462097,0.12826369809577798,0.00014804196884299348,0.001152869424310378,False,CLEAN
LCK,0.17117688059806824,0.17097962504376601,0.00019725555430222252,0.00115234927528203,False,CLEAN
TGIF1,0.14651545882225037,0.1463471730473151,0.00016828577493527286,0.001148587161300391,False,CLEAN
MANF,0.11076361685991287,0.11063712549247924,0.00012649136743363154,0.0011419938335311872,False,CLEAN
HIST1H2AC,0.13392053544521332,0.13376784033142164,0.00015269511379167877,0.0011401919301177385,False,CLEAN
MRPL18,0.11657087504863739,0.11643811956503053,0.00013275548360686118,0.00113883921306648,False,CLEAN
UQCRC2,0.10082560777664185,0.10071169111179219,0.00011391666484965313,0.0011298386130437399,False,CLEAN
