Epoch 184 | train_loss=0.0675 | val_loss=0.0656 | val_r=0.6252±0.0195
Epoch 185 | train_loss=0.0673 | val_loss=0.0654 | val_r=0.6262±0.0191
Epoch 186 | train_loss=0.0673 | val_loss=0.0653 | val_r=0.6273±0.0195
Epoch 187 | train_loss=0.0673 | val_loss=0.0652 | val_r=0.6282±0.0196
Epoch 188 | train_loss=0.0670 | val_loss=0.0649 | val_r=0.6292±0.0204
Epoch 189 | train_loss=0.0668 | val_loss=0.0648 | val_r=0.6303±0.0208
Epoch 190 | train_loss=0.0667 | val_loss=0.0648 | val_r=0.6313±0.0204
Epoch 191 | train_loss=0.0663 | val_loss=0.0644 | val_r=0.6323±0.0207
Epoch 192 | train_loss=0.0662 | val_loss=0.0643 | val_r=0.6333±0.0207
Epoch 193 | train_loss=0.0661 | val_loss=0.0642 | val_r=0.6343±0.0211
Epoch 194 | train_loss=0.0660 | val_loss=0.0640 | val_r=0.6353±0.0218
Epoch 195 | train_loss=0.0660 | val_loss=0.0640 | val_r=0.6363±0.0217
Epoch 196 | train_loss=0.0660 | val_loss=0.0637 | val_r=0.6374±0.0218
Epoch 197 | train_loss=0.0659 | val_loss=0.0635 | val_r=0.6383±0.0214
Epoch 198 | train_loss=0.0653 | val_loss=0.0633 | val_r=0.6394±0.0217
Epoch 199 | train_loss=0.0653 | val_loss=0.0633 | val_r=0.6404±0.0220
Epoch 200 | train_loss=0.0652 | val_loss=0.0631 | val_r=0.6413±0.0225
