gene_a,gene_b,combined_score
APMAP,EIF5B,781
PGRMC1,CYB5B,766
PGRMC1,INSIG1,967
PGRMC1,PAQR6,702
PGRMC1,FECH,959
STAG2,ATRX,730
STAG2,SRSF2,777
STAG2,PDS5A,999
STAG2,ESCO1,839
STAG2,STAG1,996
STAG2,SMC4,772
STAG2,STAG3,958
STAG2,CTCF,983
TIMP1,PLAUR,768
TIMP1,MMP9,999
TIMP1,CCL5,740
TIMP1,MMP7,925
TIMP1,IFNG,760
TIMP1,LGALS3,743
TIMP1,TNF,727
TIMP1,IL1B,791
TIMP1,THBS1,762
TIMP1,COL1A1,842
TIMP1,CCL2,867
TIMP1,EGF,728
TIMP1,IL6,938
TIMP1,SPP1,781
TIMP1,STAT3,772
TIMP1,JUN,701
TIMP1,CXCL10,744
TIMP1,LCN2,850
ACP5,SPP1,701
ACP5,MMP9,748
ACP5,DCSTAMP,839
ACP5,FOS,812
NTHL1,SMUG1,758
NTHL1,POLE,772
NTHL1,POLD1,803
NTHL1,FEN1,792
NTHL1,NEIL1,984
ZNF263,TRIM28,764
CCL22,CCL4,772
CCL22,CCL20,831
CCL22,CXCL11,735
CCL22,PPBP,709
CCL22,CCL2,914
CCL22,CXCL3,713
CCL22,CXCL10,959
CCL22,STAT3,744
CCL22,IL6,825
CCL22,CXCL9,843
CCL22,CXCL2,849
CCL22,CXCR6,840
CCL22,CTLA4,705
CCL22,CD40LG,740
CCL22,CXCL5,874
CCL22,IL1B,816
CCL22,TNF,811
CCL22,CX3CR1,877
CCL22,IL2,736
CCL22,CD8A,768
CCL22,CXCR3,941
CCL22,CXCL13,778
CCL22,CCL26,776
CCL22,CCL19,947
CCL22,CSF2,800
CCL22,IFNG,765
CCL22,CXCL1,920
CCL22,CCL5,926
POLR2C,POLR2B,999
POLR2C,PCF11,807
POLR2C,DDB1,907
POLR2C,POLR2K,999
POLR2C,CD74,877
POLR2C,SUPT6H,991
POLR2C,MED24,864
POLR2C,SRSF1,717
POLR2C,MRPS6,978
POLR2C,MRPL17,939
POLR2C,MED11,934
POLR2C,MED6,996
POLR2C,MRTO4,894
POLR2C,TAF7,928
POLR2C,TAF3,915
POLR2C,IMP3,937
POLR2C,CDK7,943
POLR2C,APMAP,741
POLR2C,MED30,895
POLR2C,SETD2,936
POLR2C,WDR61,836
POLR2C,RPS18,981
POLR2C,INTS3,994
POLR2C,MRPS16,977
POLR2C,MRPL1,770
POLR2C,LEO1,973
POLR2C,MLLT3,803
POLR2C,TWISTNB,934
POLR2C,POLR1D,997
POLR2C,MED17,996
POLR2C,GPN1,950
POLR2C,MED16,837
POLR2C,RPAP2,984
POLR2C,RPL3,866
POLR2C,MED10,992
POLR2C,ZNRD1,806
POLR2C,PIH1D1,840
POLR2C,POLR3A,970
POLR2C,CHD1,715
POLR2C,HMGN2,800
POLR2C,INTS4,813
POLR2C,TNKS1BP1,839
USB1,PPIE,787
USB1,CCDC12,726
USB1,BCAS2,771
NME3,NTPCR,946
NME3,BBS4,805
NME3,CMPK2,941
NME3,DUT,936
NME3,RRM2,750
NME3,AK3,936
NME3,NUDT2,922
NME3,NME1,989
NME3,RRM1,816
NME3,CTPS1,939
NME3,AK1,809
NME3,MOCS1,800
CMC2,COA4,776
CMC2,COX19,727
CRYM,L3HYPDH,940
MAZ,JUN,702
MAZ,MYC,722
SCG3,PMCH,760
SCG3,CHGB,937
AGO2,NCBP2,922
AGO2,FMR1,998
AGO2,TSNAX,958
AGO2,DDX6,999
AGO2,KRAS,734
AGO2,ZC3HAV1,715
AGO2,CCND2,765
AGO2,DDX20,999
AGO2,CCND1,728
AGO2,YY1,796
AGO2,MTDH,859
AGO2,RBM4,978
AGO2,HTT,946
AGO2,HNRNPD,769
AGO2,UPF1,949
AGO2,RPP14,901
AGO2,EZH2,779
AGO2,TNF,709
AGO2,PDCD4,814
AGO2,DCP1A,885
AGO2,EIF4EBP1,820
AGO2,CDK6,701
AGO2,MYC,851
EMC2,EMC4,999
EMC2,DDOST,713
EMC2,MMGT1,999
MTMR9,FAM167A,871
GSR,TKTL1,727
GSR,TXN,916
GSR,PRDX6,964
GSR,CYCS,721
GSR,PDHX,780
GSR,HPGDS,964
GSR,PRDX5,787
GSR,GSS,961
GSR,GLO1,779
GSR,HMOX1,761
GSR,MGST2,923
GSR,GSTM2,941
GSR,SOD2,814
TNFRSF10A,FASLG,998
TNFRSF10A,CASP8,997
TNFRSF10A,HLA-DQA1,954
TNFRSF10A,TNFRSF25,998
TNFRSF10A,HLA-DRB1,868
TNFRSF10A,TNFSF10,999
TNFRSF10A,TNF,997
TNFRSF10A,CD8A,700
TNFRSF10A,BCL2,708
TNFRSF10A,HLA-DQB1,802
TNFRSF10A,CASP3,732
NEFM,ARHGEF28,774
EXOSC5,MPHOSPH10,721
EXOSC5,ZC3HAV1,868
EXOSC5,WDR36,735
EXOSC5,UTP3,799
EXOSC5,WDR61,779
EXOSC5,BYSL,828
EXOSC5,NOP58,798
EXOSC5,IMP3,904
EXOSC5,PNO1,815
TBCB,TUBA1B,786
TBCB,TUBA4A,808
TBCB,TBCD,903
CD79A,TCL1A,711
CD79A,CD5,866
CD79A,MME,870
CD79A,CXCL9,988
CD79A,CD72,771
CD79A,ZAP70,714
CD79A,MZB1,815
CD79A,CD27,877
CD79A,CD7,754
CD79A,BLNK,998
CD79A,BCL2,705
CD79A,MS4A1,935
CD79A,CD79B,999
CD79A,FCRLA,823
CD79A,TNFRSF17,793
CD79A,CD19,998
CD79A,CD2,744
CD79A,IGLL5,984
CD79A,CD38,825
CD79A,FYN,932
LIM2,ATP6V1G2,877
LIM2,BFSP1,748
LIM2,ATP6V0A4,940
LIM2,ATP6V1H,948
NKG7,KLRD1,907
NKG7,GZMH,969
NKG7,GZMK,933
NKG7,FGFBP2,770
NKG7,LAG3,807
NKG7,GZMB,917
NKG7,CD3G,749
NKG7,IL2RB,768
NKG7,GNLY,951
NKG7,CTSW,899
NKG7,CCL5,890
NKG7,GZMA,937
NKG7,CD247,747
NKG7,CD8A,904
NKG7,KLRB1,730
NKG7,CST7,900
NKG7,CD2,847
NKG7,CD3E,731
NKG7,PRF1,933
CDC37,PINK1,979
CDC37,STK11,898
CDC37,RUVBL1,736
CDC37,PIH1D1,716
CDC37,HSP90B1,973
CDC37,ERBB2,891
CDC37,CCT2,932
CDC37,DNAJB1,952
CDC37,CCT4,937
CDC37,BRAF,991
CDC37,TCP1,929
CDC37,AHSA1,968
CDC37,CDK7,767
CDC37,SDF2L1,746
CDC37,HSPA1B,705
CDC37,BAG3,800
CDC37,DNAJC9,910
CDC37,CCT6A,931
CDC37,CDK4,999
CDC37,CDK6,964
EPOR,OSM,823
EPOR,EGF,734
EPOR,IL6,787
EPOR,JAK1,968
EPOR,STAT3,700
EPOR,SOCS3,906
